Temperature;1;2;3;4;5;6;7;8
81,63;81,88474007;81,88589506;82,04719154;81,90680056;81,86064161;82,04476306;81,8655115;81,85045731
81,64;81,82914412;81,8304272;81,98932804;81,84955308;81,80388043;81,98573255;81,80929499;81,79314526
81,65;81,7733054;81,77462385;81,93133045;81,79240695;81,7470362;81,92644014;81,75281405;81,73576293
81,66;81,71771569;81,71878324;81,87339672;81,73553787;81,69015045;81,86718411;81,69651675;81,67838841
81,67;81,66210108;81,66275623;81,8151693;81,678412;81,63302941;81,80773894;81,63992562;81,62082644
81,68;81,60646157;81,60654283;81,75664819;81,62102936;81,57567307;81,74810464;81,58304066;81,56307702
81,69;81,55024937;81,54982618;81,69776955;81,56321425;81,51791534;81,68800479;81,52583248;81,5052495
81,7;81,49353295;81,49275541;81,63868023;81,50519643;81,46009533;81,62768673;81,46873449;81,44735168
81,71;81,4368601;81,43583376;81,57930361;81,44728673;81,40242065;81,56725227;81,41187891;81,38913364
81,72;81,3802246;81,3788127;81,51949284;81,38929594;81,34446917;81,50639592;81,35493518;81,33055633
81,73;81,32362644;81,32169223;81,45924792;81,33122406;81,28624087;81,44511765;81,29790329;81,27161975
81,74;81,26653649;81,26395049;81,39864545;81,27249672;81,22713369;81,38320652;81,24018825;81,21245667
81,75;81,20884893;81,20600372;81,33810043;81,21318151;81,16742444;81,32101168;81,18207656;81,15343418
81,76;81,1508937;81,14826197;81,27765119;81,15381226;81,10783975;81,25872955;81,12397221;81,09445072
81,77;81,09286377;81,09040839;81,21678056;81,09447003;81,04840731;81,19595277;81,06560342;81,03517047
81,78;81,03475915;81,03244298;81,15548855;81,03515482;80,98912713;81,13268135;81,00697019;80,97559342
81,79;80,97658605;80,97404888;81,09366024;80,97535309;80,9292933;81,06878433;80,9479109;80,91570397
81,8;80,91841295;80,91537521;81,03171699;80,91508512;80,86887814;81,00484367;80,88865329;80,85586138
81,81;80,86018383;80,85665183;80,96963329;80,85489147;80,80850451;80,94106303;80,82960871;80,79612815
81,82;80,8017306;80,79765509;80,90706436;80,7944951;80,74790943;80,87710782;80,77047598;80,73603563
81,83;80,74305326;80,73838499;80,84401022;80,733896;80,68709291;80,81297804;80,71125511;80,67558384
81,84;80,68390904;80,6786303;80,78020908;80,67233061;80,62566046;80,74829543;80,65138047;80,61463999
81,85;80,62439131;80,61887561;80,7159674;80,61044089;80,56408268;80,68293632;80,59115322;80,55341497
